id,meanfreq,sd,median,mode,Q25,Q75,IQR,skew,kurt,Label
340,2.880430355,3.172041587,0.997886209,0.200193221,0.261277819,5.186031055,4.924753236,16.09455167,0.374748554,Female
341,1.352828252,1.706484956,0.558744495,0.541855492,0.303298334,1.773345248,1.470046914,6.072849406,0.048836646,Male
342,1.880682209,2.278075019,0.799820152,0.288585049,0.422366197,2.33448104,1.912114843,5.590169616,0.045385663,Male
343,2.907913569,3.035397475,1.831061668,0.195081465,0.616792221,3.945409951,3.32861773,7.923834246,0.103619153,Female
344,1.948685408,2.639293033,0.566407664,0.450622672,0.329361362,2.625502927,2.296141565,5.910436222,0.044768406,Male
345,1.939060214,1.786214968,1.47833605,0,0.626680583,2.915320042,2.288639459,5.913275255,0.080636348,Female
346,0.990244578,1.632789739,0.443886521,0.17789025,0.227397443,0.868473628,0.641076185,9.676757767,0.134213858,Female
347,1.869889501,2.378777985,0.94282196,0,0.417105659,1.834143098,1.41703744,6.620925426,0.104038052,Female
348,1.842545572,2.444900717,0.723786002,0.483109588,0.292500896,2.513926622,2.221425726,6.259761641,0.05410735,Female
349,1.540928176,2.098073323,0.638886312,0.215970043,0.289965351,1.860711265,1.570745914,13.39936752,0.274024621,Female
350,2.486254163,3.048816509,0.735112094,0.195716029,0.387396675,4.003098978,3.615702303,8.545035981,0.103974909,Female
351,1.933358923,2.57378812,0.512406724,0.231721707,0.23399907,3.280541713,3.046542642,10.60059444,0.148174276,Male
352,2.190170067,2.393490284,1.336650648,0,0.603209482,2.727761819,2.124552337,8.170343747,0.135122476,Female
353,1.445006636,2.109050973,0.520952227,0,0.233963855,1.579802663,1.345838808,11.73789135,0.249121048,Female
354,1.434156088,1.736331156,0.782604587,0.26858619,0.292666331,1.995873236,1.703206905,7.109601475,0.068726726,Female
355,1.257922895,2.05353241,0.451156542,0.23625,0.186939252,1.273983645,1.087044393,7.069062563,0.069003549,Male
356,2.131736437,3.023905389,0.386874789,0.154004731,0.280065056,2.965212065,2.685147009,9.096073993,0.100536291,Male
357,1.772634546,2.438096391,0.724549763,0.248193128,0.289123223,2.02125,1.732126777,7.53726911,0.075163649,Female
358,1.62255247,1.887774829,0.863751017,0.598901546,0.460496338,1.970992677,1.510496338,6.710170627,0.062033206,Male
359,1.37724138,1.591995525,0.66708724,0.219800634,0.423462061,1.947464362,1.5240023,7.295408125,0.069683704,Female
360,1.456393872,1.638185271,0.758290059,0.496568991,0.485469214,1.79641135,1.310942136,8.506659393,0.104538713,Female
361,1.372788475,1.947655449,0.61738285,0.138911141,0.264102664,1.482576317,1.218473654,6.046137724,0.051680384,Male
362,1.570116825,1.640082074,0.986812948,0.204069085,0.406222029,2.235179231,1.828957202,6.820658389,0.065478777,Female
363,1.643742488,2.291364979,0.682304978,0,0.289959138,1.68323737,1.393278232,5.752525044,0.049193364,Male
364,1.45016216,1.559824473,0.760385733,0.377227243,0.408069722,2.077715462,1.669645739,7.86848283,0.079467442,Female
365,1.218831294,1.542802955,0.553845082,0.377652688,0.356482284,1.82475223,1.468269945,8.419198642,0.091463541,Female
366,1.97791189,2.824434682,0.467526901,0.223261598,0.212370788,2.649578409,2.43720762,13.28841954,0.233213704,Female
367,3.773524315,3.142364723,3.34218519,0.412509241,0.652045343,6.761800764,6.109755421,4.223325666,0.028952005,Male
368,1.698588064,1.899822368,0.783010396,0.496262622,0.47079219,2.445983158,1.975190968,7.082650327,0.065943714,Female
369,2.014497509,2.407349476,0.775941645,0.552127321,0.438270557,3.281570292,2.843299735,6.804980021,0.075183243,Female
370,1.198893696,1.739649701,0.54958517,0.266372757,0.257952928,1.2025046,0.944551671,6.369667659,0.055695085,Male
371,1.923765235,2.240584735,0.828806234,0.193484382,0.425232467,2.554282627,2.12905016,8.965106068,0.117394675,Female
372,1.991265105,2.636776255,0.623591048,0.050246185,0.353517803,2.492569685,2.139051882,9.210824831,0.12785935,Female
373,1.740622146,2.26478952,0.629972893,0.4572996,0.259009939,2.333935717,2.074925778,5.543280138,0.039857795,Male
374,1.71909404,1.788173907,0.894314016,0.198640902,0.509930973,2.645105686,2.135174713,6.964374882,0.065686877,Male
375,0.976746917,1.58037963,0.399261188,0.117981291,0.225023918,0.800085043,0.575061125,7.475085328,0.075825448,Male
376,2.67194731,3.288517347,0.601402216,0.131556735,0.378907646,5.461726375,5.082818729,6.92195893,0.064382456,Male
377,1.189938128,1.637392414,0.695710248,0.233701117,0.285834443,1.296741582,1.010907139,5.427258672,0.042599924,Female
378,1.472427245,2.026190084,0.674460135,0,0.37559756,1.646167372,1.270569812,9.321443451,0.130910614,Female
379,1.326005557,2.122576628,0.451322461,0.127775823,0.160632463,1.261786254,1.10115379,8.098596598,0.101037883,Male
380,0.957926656,1.496139996,0.520751572,0.102618692,0.232040774,0.921270795,0.689230021,7.960568008,0.097698061,Male
381,1.731870377,2.340346147,0.671152756,0.189501955,0.379661902,2.081889529,1.702227627,8.596492024,0.101097864,Female
382,2.196046153,2.77369743,0.698349955,0,0.251219402,3.419116047,3.167896646,7.292942199,0.073470163,Female
383,1.227260991,1.545570819,0.716049122,0,0.270050011,1.518357413,1.248307402,9.170247425,0.11982083,Female
384,1.266773237,2.033843719,0.52634172,0.136523515,0.266656567,0.948112238,0.681455671,9.155767432,0.116288283,Male
385,1.197549773,1.796029299,0.600650152,0.187980079,0.365833285,1.1069938,0.741160514,5.045533192,0.034496726,Female
386,1.566868602,1.957925991,0.736799875,0,0.381037357,1.822469129,1.441431772,7.094280876,0.084804815,Female
387,1.920836039,2.574129443,0.58525641,0,0.362179487,2.53525641,2.173076923,7.401370418,0.073289262,Female
388,1.503494185,2.115262402,0.716282014,0,0.264019317,1.697380987,1.43336167,7.010342459,0.072511535,Female
389,0.984915105,1.612678691,0.378754176,0.213624722,0.213624722,0.890103007,0.676478285,8.011602976,0.096258461,Female
390,1.193328648,1.839466631,0.496200117,0.206034651,0.238656804,1.12117189,0.882515087,7.333468061,0.071716547,Male
391,2.825333325,3.375060049,0.828434987,0.260271448,0.252882038,5.741571716,5.488689678,11.65492712,0.187210267,Female
392,1.729502005,2.383297429,0.57348285,0,0.330791557,2.107757256,1.776965699,7.830385087,0.081980244,Female
393,2.267273774,2.196822264,1.69212982,0.209249359,0.609613134,3.08712555,2.477512416,6.406399805,0.06650528,Female
394,3.372982262,3.283736565,1.998287455,0.197247321,0.42758983,5.636110527,5.208520698,7.696407739,0.101944713,Female
395,1.416393006,2.255147854,0.572776051,0.144602478,0.194368266,1.318323894,1.123955627,5.909374763,0.045644212,Male
396,1.197801463,1.928557231,0.390434032,0.227753185,0.22537249,1.094326279,0.86895379,9.06394622,0.112494052,Male
397,1.615650439,1.552528646,1.296570368,0.408069722,0.456112815,2.21947224,1.763359425,7.970453715,0.099318236,Female
398,1.736951193,2.589841428,0.386828559,0.160599482,0.16291582,2.461495903,2.298580083,10.38214637,0.14799111,Female
399,1.632038709,2.223903468,0.526907182,0.120519913,0.250593234,2.181116481,1.930523246,11.64956703,0.227450616,Male
400,2.550230596,2.904859927,0.962302483,0.425846501,0.388713318,4.146275395,3.757562077,8.986640414,0.1183368,Female
401,2.347916964,2.991060889,0.632569259,0.248841583,0.222484531,4.03417944,3.811694909,9.119379768,0.112618745,Female
402,1.695402271,2.191546421,0.704812859,0.315258173,0.315258173,2.447768874,2.1325107,8.819908822,0.107158604,Female
403,1.609667883,2.292381081,0.440194683,0.174030456,0.201329351,2.117029311,1.91569996,11.03742908,0.185762164,Male
404,1.314319405,2.097971273,0.427169512,0.187324335,0.238094482,1.328777293,1.090682811,8.311262584,0.089457628,Female
405,2.452866427,2.47256394,1.394546288,0,0.507796746,4.35458868,3.846791934,8.936983882,0.159699513,Female
406,2.502305504,2.975503784,0.60735698,0.112473515,0.301948128,5.224827356,4.922879228,5.376270516,0.037642717,Male
407,1.325043463,1.836096225,0.707308083,0.220539539,0.369030304,1.467334781,1.098304477,7.141662421,0.071089965,Female
408,2.067540318,2.51239449,0.756829644,0.317662511,0.318177361,3.182288456,2.864111096,9.298542103,0.11963087,Male
409,0.857469854,1.438881098,0.471933453,0,0.2205,0.818546763,0.598046763,6.108905056,0.054803943,Male
410,1.784773816,2.509301901,0.771557439,0.259082248,0.259519887,1.996946451,1.737426564,6.547396136,0.055748734,Female
411,2.32134122,2.760672129,0.977996881,0.196433044,0.453307025,3.076235261,2.622928236,6.090240214,0.053531129,Female
412,0.967348415,1.596387433,0.383344924,0.157373179,0.196111192,0.710196911,0.514085718,6.727978286,0.05837611,Male
413,1.743354088,2.084768074,0.825281688,0.2444879,0.390676541,2.423634835,2.032958294,8.762680899,0.122708877,Female
414,2.143811722,2.77334843,0.65631245,0.029143537,0.164952419,3.154496431,2.989544013,7.855752991,0.083967412,Male
415,2.670985081,2.914270358,1.309923986,0,0.551220968,3.737773643,3.186552675,9.178371385,0.179574653,Female
416,1.293958443,1.896196663,0.500691361,0,0.229766586,1.587986807,1.358220221,21.06545342,0.924075917,Female
417,1.953649219,2.392164158,0.91741077,0.216725667,0.340700096,2.631931198,2.291231102,7.446892108,0.088147491,Female
418,2.060830635,2.60242949,0.672314246,0.180237436,0.291812992,3.311982095,3.020169103,6.047652823,0.051794231,Male
419,1.910174369,2.617792061,0.574983023,0.108807551,0.281502105,2.184136901,1.902634796,7.087740545,0.068412879,Male
420,1.802745376,2.461968221,0.524955912,0.142580618,0.276828603,2.576635455,2.299806853,8.42276974,0.09836174,Male
